TARGETID,EXPID,MJD,NIGHT,FIBER,SURVEY,PROGRAM,VRAD,VRAD_ERR,VRAD_SKEW,VRAD_KURT,SN_R,RVS_WARN,SUCCESS,FIBERSTATUS,TEFF,LOGG,FEH,TRUE_KIND
100006,900025,60173.341832,20200103,2603,SYNTHETIC,BRIGHT,-107.3160465,1.93163785,0.043787,3.321237,25.5838,0,True,0,5082.94,3.049,-0.45,stable
100007,900026,59160.353018,20200101,265,SYNTHETIC,BRIGHT,67.42865471,2.22828287,0.117184,3.088561,18.1409,0,True,0,6842.62,3.078,-0.837,stable
100007,900027,59619.453587,20200102,1082,SYNTHETIC,BRIGHT,64.88606425,1.27874049,0.188989,2.840859,74.1978,0,True,0,6842.62,3.078,-0.837,stable
100007,900028,59919.567399,20200103,3009,SYNTHETIC,BRIGHT,64.03734642,1.52831192,0.016055,2.968819,46.0956,0,True,0,6842.62,3.078,-0.837,stable
100007,900029,60174.870788,20200104,3800,SYNTHETIC,BRIGHT,65.80304493,2.1331466,-0.030702,3.014552,20.1282,0,True,0,6842.62,3.078,-0.837,stable
100008,900030,59388.382146,20200101,4621,SYNTHETIC,BRIGHT,48.53912395,2.41649566,-0.118639,2.795992,14.9869,0,True,0,4987.69,3.469,-2.07,stable
100008,900031,59523.213549,20200102,3422,SYNTHETIC,BRIGHT,57.51697709,2.06479776,0.036438,2.85401,21.7648,0,True,0,4987.69,3.469,-2.07,stable
100008,900032,59856.717921,20200103,797,SYNTHETIC,BRIGHT,50.82988478,1.40460911,0.027423,2.865279,57.5436,0,True,0,4987.69,3.469,-2.07,stable
100008,900033,59924.354208,20200104,1168,SYNTHETIC,BRIGHT,51.06619918,1.42981049,-0.070828,2.996474,54.8889,0,True,0,4987.69,3.469,-2.07,stable
100008,900034,60297.601067,20200105,1659,SYNTHETIC,BRIGHT,49.5605911,2.49306059,-0.120842,2.960445,13.9351,0,True,0,4987.69,3.469,-2.07,stable
100009,900035,59331.747947,20200101,585,SYNTHETIC,BRIGHT,192.6003579,1.32218866,0.080111,3.224242,67.7141,0,True,0,5954.75,4.082,-1.806,stable
100009,900036,59359.933806,20200102,3803,SYNTHETIC,BRIGHT,193.40714216,1.329533,0.009677,2.703571,66.7025,0,True,0,5954.75,4.082,-1.806,stable
100009,900037,59891.89821,20200103,4395,SYNTHETIC,BRIGHT,189.64729433,1.27772122,-0.00392,2.978258,74.361,0,True,0,5954.75,4.082,-1.806,stable
100009,900038,60061.87309,20200104,4661,SYNTHETIC,BRIGHT,190.90966729,1.39297249,0.077024,2.865374,58.8348,0,True,0,5954.75,4.082,-1.806,stable
100009,900039,60103.705169,20200105,1465,SYNTHETIC,BRIGHT,193.60037494,1.36089105,0.128868,2.867237,62.6284,0,True,0,5954.75,4.082,-1.806,stable
100010,900040,59947.741491,20200101,3695,SYNTHETIC,BRIGHT,45.38313296,1.27079293,-0.029661,2.842263,75.4842,0,True,0,4100.44,2.669,-0.042,stable
100010,900041,60040.848713,20200102,29,SYNTHETIC,BRIGHT,49.26984857,2.08647938,0.068155,2.963535,21.2247,0,True,0,4100.44,2.669,-0.042,stable
100010,900042,60275.021909,20200103,1870,SYNTHETIC,BRIGHT,47.75649462,1.50883412,-0.077819,3.190005,47.6582,0,True,0,4100.44,2.669,-0.042,stable
100011,900043,59316.471419,20200101,707,SYNTHETIC,BRIGHT,-24.80756067,1.52868881,0.023289,3.102525,46.0661,0,True,0,5347.49,2.575,-0.662,stable
100011,900044,59335.704214,20200102,1548,SYNTHETIC,BRIGHT,-30.28763999,3.03900478,-0.307072,2.978421,8.8511,0,True,0,5347.49,2.575,-0.662,stable
100011,900045,59363.880952,20200103,3099,SYNTHETIC,BRIGHT,-26.46305367,1.39388738,-0.097606,3.227023,58.7317,0,True,0,5347.49,2.575,-0.662,stable
100011,900046,59457.710327,20200104,3240,SYNTHETIC,BRIGHT,-22.49836067,3.11374681,0.038685,2.896733,8.3788,0,True,0,5347.49,2.575,-0.662,stable
100011,900047,60188.726145,20200105,315,SYNTHETIC,BRIGHT,-24.4665314,1.83578513,0.16223,3.166443,28.9913,0,True,0,5347.49,2.575,-0.662,stable
100012,900048,59020.358972,20200101,4701,SYNTHETIC,BRIGHT,-12.14637099,1.26669188,-0.022329,3.025771,76.1611,0,True,0,4828.25,4.164,-0.536,stable
100012,900049,59359.635263,20200102,981,SYNTHETIC,BRIGHT,-9.41838556,1.2856803,-0.033198,3.06266,73.1013,0,True,0,4828.25,4.164,-0.536,stable
100012,900050,59552.191928,20200103,1717,SYNTHETIC,BRIGHT,-6.51438371,2.43572666,-0.138283,2.748508,14.7118,0,True,0,4828.25,4.164,-0.536,stable
100012,900051,59662.720224,20200104,2577,SYNTHETIC,BRIGHT,-8.77224714,1.26472216,-0.123455,3.260017,76.4895,0,True,0,4828.25,4.164,-0.536,stable
100012,900052,60051.494415,20200105,4563,SYNTHETIC,BRIGHT,-8.69875334,1.2731938,-0.047992,2.978901,75.0921,0,True,0,4828.25,4.164,-0.536,stable
100013,900053,59264.912639,20200101,2764,SYNTHETIC,BRIGHT,-115.84613778,1.52927892,0.012464,2.995241,46.02,0,True,0,4581.72,4.276,-2.409,stable
100013,900054,59373.165603,20200102,368,SYNTHETIC,BRIGHT,-113.77745561,1.31247027,0.068293,3.354638,69.0884,0,True,0,4581.72,4.276,-2.409,stable
100013,900055,59817.457618,20200103,218,SYNTHETIC,BRIGHT,-109.72051269,2.28202913,-0.064949,2.816269,17.1456,0,True,0,4581.72,4.276,-2.409,stable
100013,900056,60036.293793,20200104,2241,SYNTHETIC,BRIGHT,-113.33165706,1.27088308,-0.034694,3.184646,75.4694,0,True,0,4581.72,4.276,-2.409,stable
100014,900057,59141.573124,20200101,187,SYNTHETIC,BRIGHT,-18.8419111,1.27846496,-0.073871,3.247421,74.2419,0,True,0,6324.41,3.546,-1.728,stable
100014,900058,59243.981088,20200102,2228,SYNTHETIC,BRIGHT,-18.99968128,1.30528455,0.022698,2.975471,70.1317,0,True,0,6324.41,3.546,-1.728,stable
100014,900059,59433.278582,20200103,2794,SYNTHETIC,BRIGHT,-18.99361473,1.37031978,-0.049804,2.763657,61.4762,0,True,0,6324.41,3.546,-1.728,stable
100014,900060,59840.333177,20200104,2496,SYNTHETIC,BRIGHT,-19.57379274,2.38093407,0.01265,3.166897,15.5163,0,True,0,6324.41,3.546,-1.728,stable
100015,900061,59231.068423,20200101,3329,SYNTHETIC,BRIGHT,-90.48239587,1.44058997,-0.03342,3.145678,53.8093,0,True,0,5140.88,3.309,-0.492,stable
100015,900062,59414.89526,20200102,2994,SYNTHETIC,BRIGHT,-90.1472844,1.76244156,-0.013171,2.90059,32.0803,0,True,0,5140.88,3.309,-0.492,stable
100015,900063,59439.321301,20200103,4359,SYNTHETIC,BRIGHT,-89.58941691,1.42887483,0.015562,3.031888,54.9842,0,True,0,5140.88,3.309,-0.492,stable
100016,900064,59356.495826,20200101,4835,SYNTHETIC,BRIGHT,-340.86305125,1.48866922,-0.059399,2.999126,49.3611,0,True,0,4608.92,3.035,-0.286,stable
100016,900065,59490.641607,20200102,660,SYNTHETIC,BRIGHT,-341.74348193,1.53380927,-0.00893,3.044952,45.6685,0,True,0,4608.92,3.035,-0.286,stable
100016,900066,59606.720772,20200103,3155,SYNTHETIC,BRIGHT,-343.40003409,2.41536735,0.193136,3.345276,15.0033,0,True,0,4608.92,3.035,-0.286,stable
100016,900067,59694.005053,20200104,4545,SYNTHETIC,BRIGHT,-340.0294774,1.83043395,-0.088446,3.036745,29.2013,0,True,0,4608.92,3.035,-0.286,stable
100016,900068,59754.655589,20200105,4408,SYNTHETIC,BRIGHT,-340.56507394,1.39674083,-0.098602,2.921138,58.4119,0,True,0,4608.92,3.035,-0.286,stable
100017,900069,59001.363213,20200101,3546,SYNTHETIC,BRIGHT,-102.08196537,1.38148403,0.002256,3.030721,60.1527,0,True,0,4608.77,3.98,-0.566,stable
100017,900070,60113.135901,20200102,4723,SYNTHETIC,BRIGHT,-99.40087117,1.52108176,-0.040457,3.042045,46.6665,0,True,0,4608.77,3.98,-0.566,stable
100018,900071,59685.527157,20200101,1215,SYNTHETIC,BRIGHT,-13.69715707,1.74579514,0.030477,3.064572,32.8501,0,True,0,4612.13,3.888,-1.449,stable
100018,900072,59792.899398,20200102,950,SYNTHETIC,BRIGHT,-13.13385834,1.67617663,0.033502,2.998795,36.3896,0,True,0,4612.13,3.888,-1.449,stable
100018,900073,59914.997531,20200103,1349,SYNTHETIC,BRIGHT,-12.27393182,1.45563632,0.021109,3.006884,52.3547,0,True,0,4612.13,3.888,-1.449,stable
100018,900074,59919.850826,20200104,3334,SYNTHETIC,BRIGHT,-12.7845197,1.70358986,0.205243,2.72203,34.9306,0,True,0,4612.13,3.888,-1.449,stable
100019,900075,59006.59347,20200101,3510,SYNTHETIC,BRIGHT,-56.74463357,1.27079455,-0.097042,3.07891,75.4839,0,True,0,4873.68,3.824,-1.119,stable
100019,900076,59809.725237,20200102,3196,SYNTHETIC,BRIGHT,-56.05856278,1.2589249,0.079309,2.881642,77.4683,0,True,0,4873.68,3.824,-1.119,stable
100020,900077,59138.264329,20200101,3611,SYNTHETIC,BRIGHT,-10.98305996,1.31326701,0.136365,2.923946,68.9742,0,True,0,6444.81,2.295,-1.411,stable
100020,900078,59519.675243,20200102,311,SYNTHETIC,BRIGHT,-8.94934412,1.56919045,0.056936,3.224681,43.0563,0,True,0,6444.81,2.295,-1.411,stable
100020,900079,59546.862762,20200103,3038,SYNTHETIC,BRIGHT,-12.34533803,1.47028099,-0.038808,2.976881,50.9948,0,True,0,6444.81,2.295,-1.411,stable
100020,900080,59568.154787,20200104,1225,SYNTHETIC,BRIGHT,-12.40559921,2.00600336,0.057973,3.068572,23.3377,0,True,0,6444.81,2.295,-1.411,stable
100021,900081,59016.628399,20200101,1249,SYNTHETIC,BRIGHT,108.07108783,1.69121831,-0.057411,2.741599,35.578,0,True,0,4973.47,2.721,-0.859,stable
100021,900082,59284.706229,20200102,372,SYNTHETIC,BRIGHT,107.69935,1.3476323,-0.141599,2.862304,64.3041,0,True,0,4973.47,2.721,-0.859,stable
100021,900083,59926.267697,20200103,3106,SYNTHETIC,BRIGHT,105.02671725,2.04904874,0.068878,3.057928,22.1701,0,True,0,4973.47,2.721,-0.859,stable
100021,900084,60034.903762,20200104,909,SYNTHETIC,BRIGHT,106.82433063,1.79494596,-0.0544,2.770674,30.6533,0,True,0,4973.47,2.721,-0.859,stable
100021,900085,60270.941974,20200105,356,SYNTHETIC,BRIGHT,108.26121089,1.3916399,-0.147615,3.122366,58.9854,0,True,0,4973.47,2.721,-0.859,stable
100022,900086,59300.198822,20200101,2833,SYNTHETIC,BRIGHT,-27.35076995,1.30539304,-0.152268,2.962004,70.1158,0,True,0,5486.02,4.349,-0.06,stable
100022,900087,59613.101834,20200102,2235,SYNTHETIC,BRIGHT,-26.82495525,1.91075245,-0.11143,2.935175,26.2731,0,True,0,5486.02,4.349,-0.06,stable
100022,900088,59663.120245,20200103,3782,SYNTHETIC,BRIGHT,-28.32478695,1.52142165,0.043928,3.094027,46.6395,0,True,0,5486.02,4.349,-0.06,stable
100023,900089,59503.927148,20200101,3576,SYNTHETIC,BRIGHT,38.42505406,1.26398915,0.059822,2.939267,76.6122,0,True,0,5801.88,4.45,-0.544,stable
100023,900090,59520.92146,20200102,362,SYNTHETIC,BRIGHT,35.22337157,1.46650134,0.063823,3.126488,51.3407,0,True,0,5801.88,4.45,-0.544,stable
100023,900091,59870.948405,20200103,4647,SYNTHETIC,BRIGHT,41.32233047,2.476749,0.131287,3.192597,14.1497,0,True,0,5801.88,4.45,-0.544,stable
100023,900092,60013.742951,20200104,3422,SYNTHETIC,BRIGHT,39.79404555,2.66508774,0.074838,3.163221,11.9411,0,True,0,5801.88,4.45,-0.544,stable
100023,900093,60031.383745,20200105,2441,SYNTHETIC,BRIGHT,37.71814822,1.37052792,-0.059415,3.043057,61.4512,0,True,0,5801.88,4.45,-0.544,stable
100024,900094,59298.945219,20200101,4294,SYNTHETIC,BRIGHT,-170.49343075,3.34469236,-0.008754,3.130163,7.1363,0,True,0,4518.64,4.275,-0.63,stable
100024,900095,59569.912517,20200102,670,SYNTHETIC,BRIGHT,-165.41156872,1.52610665,-0.07209,2.907296,46.2686,0,True,0,4518.64,4.275,-0.63,stable
100024,900096,59946.970759,20200103,3747,SYNTHETIC,BRIGHT,-165.52442217,1.38738728,0.064566,2.875151,59.47,0,True,0,4518.64,4.275,-0.63,stable
100025,900097,59193.513198,20200101,1612,SYNTHETIC,BRIGHT,34.38862537,1.39485159,0.120664,3.106777,58.6234,0,True,0,5330.86,2.613,-1.669,stable
100025,900098,60055.90652,20200102,2179,SYNTHETIC,BRIGHT,31.85481124,1.75849157,0.0566,3.090797,32.2605,0,True,0,5330.86,2.613,-1.669,stable
100025,900099,60077.63564,20200103,1851,SYNTHETIC,BRIGHT,33.51155806,1.24642801,0.033774,2.839663,79.6433,0,True,0,5330.86,2.613,-1.669,stable
100026,900100,59733.648301,20200101,4426,SYNTHETIC,BRIGHT,-96.48120157,1.6522537,0.005414,3.135435,37.7389,0,True,0,5066.71,3.729,-1.544,stable
100026,900101,59994.46239,20200102,4920,SYNTHETIC,BRIGHT,-98.1479439,2.50229454,-0.060818,2.935914,13.8158,0,True,0,5066.71,3.729,-1.544,stable
100027,900102,59108.846388,20200101,3402,SYNTHETIC,BRIGHT,-134.97504915,2.5623457,0.007809,3.156464,13.076,0,True,0,6148.9,3.466,-1.004,stable
100027,900103,59999.413126,20200102,4051,SYNTHETIC,BRIGHT,-135.27233921,1.40244574,0.051676,2.889488,57.7804,0,True,0,6148.9,3.466,-1.004,stable
100028,900104,59072.302761,20200101,952,SYNTHETIC,BRIGHT,-43.18730629,1.87101797,-0.033069,2.896288,27.6638,0,True,0,5547.29,3.36,-1.644,stable
100028,900105,59276.329894,20200102,3269,SYNTHETIC,BRIGHT,-45.12177862,1.29623923,-0.037898,3.067776,71.4789,0,True,0,5547.29,3.36,-1.644,stable
100028,900106,59554.714883,20200103,1244,SYNTHETIC,BRIGHT,-43.66111343,1.26849987,0.060281,3.194811,75.8616,0,True,0,5547.29,3.36,-1.644,stable
100028,900107,59643.059515,20200104,265,SYNTHETIC,BRIGHT,-46.39284414,1.2695253,-0.012952,2.820992,75.6925,0,True,0,5547.29,3.36,-1.644,stable
100029,900108,59656.56174,20200101,3818,SYNTHETIC,BRIGHT,42.60091956,2.22417762,0.087508,2.839348,18.2204,0,True,0,6164.43,3.022,-0.678,stable
100029,900109,60256.841256,20200102,266,SYNTHETIC,BRIGHT,42.54767144,1.47410225,-0.005374,2.776474,50.6487,0,True,0,6164.43,3.022,-0.678,stable
100030,900110,59587.963789,20200101,481,SYNTHETIC,BRIGHT,-52.87529319,1.46873998,0.156158,2.664279,51.1354,0,True,0,5003.77,4.901,-0.234,stable
100030,900111,59608.18375,20200102,4658,SYNTHETIC,BRIGHT,-53.38652973,1.45666339,0.070592,3.315551,52.2575,0,True,0,5003.77,4.901,-0.234,stable
100030,900112,59934.963471,20200103,2275,SYNTHETIC,BRIGHT,-52.92175185,1.256748,-0.109031,3.105565,77.8407,0,True,0,5003.77,4.901,-0.234,stable
100031,900113,59211.606289,20200101,4439,SYNTHETIC,BRIGHT,45.35393954,1.54174428,-0.020513,3.016715,45.0623,0,True,0,5932.8,3.627,-1.012,stable
100031,900114,59240.195084,20200102,2399,SYNTHETIC,BRIGHT,44.0694931,2.14810085,-0.017709,2.969702,19.7948,0,True,0,5932.8,3.627,-1.012,stable
100031,900115,59309.98884,20200103,4612,SYNTHETIC,BRIGHT,46.13988473,1.24821222,-0.008484,2.952619,79.3272,0,True,0,5932.8,3.627,-1.012,stable
100031,900116,60101.644372,20200104,3142,SYNTHETIC,BRIGHT,45.59888137,2.11543221,0.012563,3.09295,20.5342,0,True,0,5932.8,3.627,-1.012,stable
100031,900117,60151.406181,20200105,2173,SYNTHETIC,BRIGHT,45.39372325,1.46454721,-0.008976,2.661736,51.5209,0,True,0,5932.8,3.627,-1.012,stable
100032,900118,59169.742737,20200101,4174,SYNTHETIC,BRIGHT,45.32170819,1.32686872,0.116649,3.20199,67.0668,0,True,0,6258.83,4.132,-1.349,stable
100032,900119,59200.984285,20200102,4583,SYNTHETIC,BRIGHT,41.09456565,1.26083276,-0.037753,2.846895,77.1441,0,True,0,6258.83,4.132,-1.349,stable
100032,900120,60118.984546,20200103,979,SYNTHETIC,BRIGHT,43.15230249,1.26539128,-0.141831,2.708426,76.3777,0,True,0,6258.83,4.132,-1.349,stable
100033,900121,59794.807676,20200101,3370,SYNTHETIC,BRIGHT,-118.39043747,2.26600787,-0.093161,3.249321,17.4335,0,True,0,4940.89,2.821,0.5,stable
100033,900122,59875.663398,20200102,3834,SYNTHETIC,BRIGHT,-120.38638874,2.32906121,-0.07701,2.750206,16.3404,0,True,0,4940.89,2.821,0.5,stable
100033,900123,60043.15185,20200103,4012,SYNTHETIC,BRIGHT,-119.96104971,1.24523065,-0.017179,3.221649,79.8565,0,True,0,4940.89,2.821,0.5,stable
100033,900124,60059.839154,20200104,2374,SYNTHETIC,BRIGHT,-119.04155656,1.48394421,-0.035811,2.905644,49.7733,0,True,0,4940.89,2.821,0.5,stable
100034,900125,59370.874357,20200101,1572,SYNTHETIC,BRIGHT,-53.10704587,1.246778,0.163209,3.055278,79.5811,0,True,0,6016.08,1.742,-1.754,stable
100034,900126,59429.99856,20200102,2461,SYNTHETIC,BRIGHT,-52.76315832,2.12708605,0.012999,2.858954,20.2658,0,True,0,6016.08,1.742,-1.754,stable
100034,900127,59844.690936,20200103,4320,SYNTHETIC,BRIGHT,-51.9198877,1.39261568,-0.089301,3.016895,58.8751,0,True,0,6016.08,1.742,-1.754,stable
100034,900128,60067.02052,20200104,4881,SYNTHETIC,BRIGHT,-52.82348633,1.9164714,-0.01212,2.764577,26.0816,0,True,0,6016.08,1.742,-1.754,stable
100035,900129,59157.990208,20200101,1994,SYNTHETIC,BRIGHT,-186.55986956,1.46904265,-0.009861,3.198718,51.1077,0,True,0,5544.77,1.639,-0.71,stable
100035,900130,59518.556311,20200102,2140,SYNTHETIC,BRIGHT,-181.40190254,2.45861218,0.04852,2.697489,14.3942,0,True,0,5544.77,1.639,-0.71,stable
100035,900131,59518.87651,20200103,2104,SYNTHETIC,BRIGHT,-186.7509639,1.57169977,0.019751,3.141302,42.8796,0,True,0,5544.77,1.639,-0.71,stable
100035,900132,59847.183293,20200104,4864,SYNTHETIC,BRIGHT,-183.93756918,1.45060597,-0.080431,2.908618,52.8343,0,True,0,5544.77,1.639,-0.71,stable
100036,900133,59494.84504,20200101,2999,SYNTHETIC,BRIGHT,-120.67529325,1.50538407,0.004414,3.102129,47.9432,0,True,0,5801.22,3.898,0.5,stable
100036,900134,59724.997873,20200102,3584,SYNTHETIC,BRIGHT,-119.33981195,2.04549353,-0.038157,2.93819,22.2632,0,True,0,5801.22,3.898,0.5,stable
100036,900135,59799.563657,20200103,3987,SYNTHETIC,BRIGHT,-120.17569557,1.55684588,-0.136352,2.914768,43.9416,0,True,0,5801.22,3.898,0.5,stable
100036,900136,60032.077895,20200104,65,SYNTHETIC,BRIGHT,-121.80514154,2.36077695,0.060001,3.410408,15.829,0,True,0,5801.22,3.898,0.5,stable
100037,900137,59198.524576,20200101,3414,SYNTHETIC,BRIGHT,181.43100474,2.25207844,0.056176,3.164884,17.6898,0,True,0,6163.56,2.67,-1.245,stable
100037,900138,59241.809591,20200102,616,SYNTHETIC,BRIGHT,181.17240254,1.86974607,0.019019,2.959754,27.7101,0,True,0,6163.56,2.67,-1.245,stable
100037,900139,59251.921756,20200103,1739,SYNTHETIC,BRIGHT,177.30672839,1.6977055,0.048907,3.009091,35.2363,0,True,0,6163.56,2.67,-1.245,stable
100037,900140,59426.626013,20200104,3014,SYNTHETIC,BRIGHT,180.55177156,1.72636611,-0.023891,3.163912,33.7841,0,True,0,6163.56,2.67,-1.245,stable
100037,900141,59668.662273,20200105,2149,SYNTHETIC,BRIGHT,178.81700975,1.55726245,0.129495,2.806456,43.9113,0,True,0,6163.56,2.67,-1.245,stable
100038,900142,59392.113171,20200101,2533,SYNTHETIC,BRIGHT,-210.99095638,1.37602116,-0.061978,2.88254,60.7949,0,True,0,5609.81,2.721,-2.418,stable
100038,900143,60271.632005,20200102,4593,SYNTHETIC,BRIGHT,-209.66448245,1.72314848,-0.061134,3.193076,33.9426,0,True,0,5609.81,2.721,-2.418,stable
100039,900144,59198.004249,20200101,1968,SYNTHETIC,BRIGHT,163.28798935,3.49692328,0.061678,2.925099,6.4626,0,True,0,4469.72,2.341,-0.786,stable
100039,900145,59963.874479,20200102,4542,SYNTHETIC,BRIGHT,160.24032972,2.03945573,0.044354,3.021607,22.4226,0,True,0,4469.72,2.341,-0.786,stable
100040,900146,59185.899056,20200101,4609,SYNTHETIC,BRIGHT,-129.85457056,1.38610619,-0.14177,3.222142,59.6172,0,True,0,5464.15,3.768,-0.585,stable
100040,900147,59345.163524,20200102,712,SYNTHETIC,BRIGHT,-130.68572375,1.53098315,-0.060501,2.732843,45.8873,0,True,0,5464.15,3.768,-0.585,stable
100040,900148,59616.310235,20200103,4825,SYNTHETIC,BRIGHT,-129.60570789,1.27465616,-0.112919,3.265437,74.8548,0,True,0,5464.15,3.768,-0.585,stable
100040,900149,59697.425162,20200104,201,SYNTHETIC,BRIGHT,-131.58868026,1.28505796,-0.01115,3.040847,73.1986,0,True,0,5464.15,3.768,-0.585,stable
100040,900150,60054.238593,20200105,2808,SYNTHETIC,BRIGHT,-130.72452966,2.21206016,-0.160889,3.150401,18.4583,0,True,0,5464.15,3.768,-0.585,stable
100041,900151,59854.598514,20200101,811,SYNTHETIC,BRIGHT,-24.35009601,1.37716618,-0.056644,3.101003,60.6595,0,True,0,4272.72,2.101,-0.928,stable
100041,900152,60058.506111,20200102,407,SYNTHETIC,BRIGHT,-22.7761988,1.62259587,0.053419,2.770347,39.5184,0,True,0,4272.72,2.101,-0.928,stable
100042,900153,59064.098031,20200101,2743,SYNTHETIC,BRIGHT,-1.46974229,1.40141608,0.00624,3.041362,57.8936,0,True,0,4438.2,3.245,-1.36,stable
100042,900154,59299.689503,20200102,3825,SYNTHETIC,BRIGHT,4.10429091,3.39460877,-0.065424,2.855435,6.9043,0,True,0,4438.2,3.245,-1.36,stable
100042,900155,59534.281853,20200103,796,SYNTHETIC,BRIGHT,-1.32775164,1.71351182,-0.001528,3.105157,34.4241,0,True,0,4438.2,3.245,-1.36,stable
100042,900156,59615.518698,20200104,1440,SYNTHETIC,BRIGHT,0.448569,1.24447761,-0.162826,2.980062,79.991,0,True,0,4438.2,3.245,-1.36,stable
100042,900157,59799.380939,20200105,3345,SYNTHETIC,BRIGHT,1.08961364,2.07625965,-0.061584,2.912403,21.4767,0,True,0,4438.2,3.245,-1.36,stable
100043,900158,59602.452956,20200101,4350,SYNTHETIC,BRIGHT,-118.60390604,1.32860465,0.052636,2.723899,66.8291,0,True,0,5047.8,3.888,-1.357,stable
100043,900159,60276.356357,20200102,2658,SYNTHETIC,BRIGHT,-115.1510181,1.92173309,0.067224,3.035403,25.9073,0,True,0,5047.8,3.888,-1.357,stable
